"STATION","NAME","DATE","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-28","62","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-29","74","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-09-30","85","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-10-01","75","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-10-02","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-10-03","68","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-10-04","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-10-05","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-10-06","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-10-07","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-10-08","67","53"
