"STATION","NAME","DATE","TMAX","TMIN"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-27","76","66"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-28","75","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-29","77","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-09-30","77","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-01","75","61"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-02","78","62"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-03","74","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-04","71","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-05","75","65"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-06","67","63"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-07","73","61"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-08","73","59"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-09","72","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-10","69","56"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-11","68","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-12","69","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-13","75","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-14","80","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-15","75","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-16","79","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-17","87","57"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-18","73","59"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-19","73","59"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-20","69","58"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-21","71","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-22","75","56"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-23","78","56"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-24","75","60"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-25","74","57"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-26","68","57"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-27","67","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-28","68","59"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-29","64","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-30","67","51"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-10-31","69","49"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-01","71","49"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-02","75","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-03","78","51"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-04","77","51"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-05","67","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-06","71","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-07","72","50"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-08","71","47"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-09","64","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-10","61","47"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-11","61","43"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-12","65","42"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-13","68","45"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-14","62","42"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-15","63","42"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-16","63","41"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-17","69","45"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-18","70","41"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-19","79","49"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-20","80","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-21","75","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-22","64","51"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-23","67","46"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-11-24","69","47"
